Date,Price,Open,High,Low,Vol.,Change %
2019-01-09,"1,535.11","1,533.20","1,539.47","1,531.44",1.31B,1.10%
2019-01-10,"1,522.01","1,523.01","1,527.82","1,514.72",1.31B,-0.85%
2019-01-11,"1,529.73","1,531.72","1,535.03","1,525.84",1.30B,0.51%
2019-01-15,"1,542.72","1,521.83","1,544.78","1,518.75",1.35B,0.85%
2019-01-16,"1,537.77","1,543.17","1,543.44","1,529.85",1.21B,-0.32%
2019-01-17,"1,543.20","1,546.48","1,549.42","1,537.83",1.15B,0.35%
2019-01-18,"1,557.59","1,547.09","1,562.64","1,546.83",1.15B,0.93%
2019-01-21,"1,566.37","1,572.94","1,574.86","1,563.79",1.13B,0.56%
2019-01-22,"1,556.43","1,570.29","1,572.28","1,552.91",1.01B,-0.63%
2019-01-23,"1,547.03","1,545.56","1,556.45","1,543.44",1.15B,-0.60%
2019-01-24,"1,552.60","1,540.72","1,552.77","1,538.04",1.15B,0.36%
2019-01-25,"1,566.10","1,553.49","1,570.88","1,553.43",1.33B,0.87%
2019-01-28,"1,555.51","1,563.61","1,564.93","1,554.66",1.07B,-0.68%
2019-01-29,"1,557.09","1,548.46","1,559.19","1,541.66",1.18B,0.10%
2019-01-30,"1,550.76","1,559.22","1,559.95","1,549.62",1.44B,-0.41%
2019-01-31,"1,567.49","1,570.63","1,574.76","1,561.12",1.36B,1.08%
2019-02-01,"1,564.63","1,565.63","1,576.02","1,562.88",1.42B,-0.18%
2019-02-04,"1,581.33","1,570.36","1,583.04","1,570.36",1.33B,1.07%
2019-02-05,"1,582.88","1,588.24","1,589.71","1,580.41",1.23B,0.10%
